Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
88.76,0.0361865,0.0326326389,
88.78,0.0365295,0.0343,
88.8,0.037387,0.0438277778,
88.82,0.038416,0.0488298611,
88.84,0.0392735,0.0564520833,
88.86,0.0406455,0.0640743056,
88.88,0.0420175,0.0645506944,
88.9,0.043218,0.0640743056,
88.92,0.0444185,0.0690763889,
88.94,0.046305,0.06216875,
88.96,0.0468195,0.05788125,
88.98,0.0481915,0.0702673611,
89,0.0502495,0.0571666667,
89.02,0.050421,0.0464479167,
89.04,0.051793,0.0476388889,
89.06,0.052479,0.0393020833,
89.08,0.053508,0.3337104167,
89.1,0.054194,0.9227652778,
89.12,0.051793,2.8102180556,
89.16,0.0632835,-2.6985048611,
89.18,0.056938,-0.9644493056,
89.2,0.0577955,-0.3070326389,
89.22,0.0581385,0.0069076389,
89.24,0.0581385,0.01929375,
89.26,0.0588245,0.0262013889,
89.28,0.0595105,0.0209611111,
89.3,0.0595105,0.0214375,
89.32,0.0601965,0.0288215278,
89.34,0.0608825,0.0285833333,
89.36,0.0612255,0.0328708333,
89.38,0.062083,0.0419222222,
89.4,0.063112,0.0469243056,
89.42,0.0636265,0.0671708333,
89.44,0.06517,0.1052819444,
89.46,0.068943,0.0971833333,
89.48,0.0704865,0.0309652778,
89.5,0.067914,0.0500208333,
89.52,0.072373,0.0776513889,
89.54,0.0735735,0.0080986111,
89.56,0.070315,0.0302506944,
89.58,0.074431,0.0631215278,
89.6,0.0752885,0.00214375,
89.62,0.0732305,-0.0028583333,
89.64,0.074088,0.0323944444,
89.66,0.0746025,0.0726493056,
89.68,0.078547,0.0490680556,
89.7,0.0756315,0.0562138889,
89.72,0.080262,0.0786041667,
89.74,0.0807765,0.0216756944,
89.76,0.080605,-0.0042875,
89.78,0.0787185,0.0481152778,
89.8,0.0818055,0.1324361111,
89.82,0.086436,0.1071875,
89.84,0.087122,0.0297743056,
89.86,0.087122,-0.0297743056,
89.88,0.084721,-0.0309652778,
89.9,0.0852355,0.0047638889,
89.92,0.0855785,0.0152444444,
89.94,0.08575,0.03215625,
89.96,0.0869505,0.0445423611,
89.98,0.086779,0.0840826389,
90,0.090895,0.0945631944,
90.02,0.0920955,0.0345381944,
90.04,0.091581,-0.0052402778,
90.06,0.0920955,-0.0469243056,
90.08,0.0896945,-0.0762222222,
90.1,0.0866075,-0.0004763889,
90.12,0.090552,0.0366819444,
90.14,0.0896945,0.0078604167,
90.16,0.0907235,-0.0042875,
90.18,0.0876365,0.0597868056,
90.2,0.0907235,0.2115166667,
90.22,0.101528,0.1133805556,
90.24,0.098098,-0.1195736111,
90.26,0.0948395,-0.2641576389,
90.28,0.084378,2.0175069444,
90.3,0.0807765,9.03161875,
90.32,0.0862645,29.5091951389,
90.42,0.095697,-35.0479305556,
90.44,0.0879795,-10.0217930556,
90.46,0.0955255,0.1336270833,
90.5,0.0917525,-3.1370208333,
90.52,0.0876365,-1.1509555556,
90.54,0.0842065,-0.4151729167,
90.56,0.084378,-0.0042875,
90.58,0.0848925,0.0464479167,
90.6,0.085407,0.4654319444,
90.62,0.08918,1.5792291667,
90.64,0.0968975,4.6126354167,
90.98,0.092267,-4.1176673611,
91,0.087808,-1.37843125,
91.02,0.0845495,-0.4261298611,
91.04,0.0818055,-0.07074375,
91.06,0.080948,0.0395402778,
91.08,0.0835205,0.4304173611,
91.1,0.0866075,1.0754479167,
91.12,0.094668,2.7344722222,
91.16,0.0838635,-2.7320902778,
91.18,0.0838635,-0.3937354167,
91.2,0.098441,1.1192756944,
91.22,0.097755,3.5874465278,
91.28,0.092267,-4.10956875,
91.3,0.0790615,-1.4682305556,
91.32,0.0794045,-0.2162805556,
91.34,0.089523,0.1841243056,
91.36,0.090209,0.0795569444,
91.38,0.08918,0.0812243056,
91.4,0.0972405,-0.0616923611,
91.42,0.0859215,-0.1510152778,
91.44,0.085407,-0.0033347222,
91.46,0.088837,0.0300125,
91.48,0.0890085,-0.0242958333,
91.5,0.0852355,0.0080986111,
91.52,0.088494,0.0714583333,
91.54,0.091581,-0.0045256944,
91.56,0.0876365,-0.0619305556,
91.58,0.0872935,-0.0485916667,
91.6,0.0872935,-0.0888465278,
91.62,0.0828345,-0.0819388889,
91.64,0.0828345,-0.0259631944,
91.66,0.0821485,0.0169118056,
91.68,0.0842065,0.0228666667,
91.7,0.084035,-0.0204847222,
91.72,0.0835205,-0.0690763889,
91.74,0.080262,-0.0728875,
91.76,0.079919,-0.0369201389,
91.78,0.079233,-0.0202465278,
,0.078547,0.0188173611,
,0.081634,-0.0119097222,
,0.077175,-0.0128625,
,0.0804335,0.0090513889,
,0.0800905,-0.0709819444,
,0.076146,-0.08789375,
,0.0752885,-0.05145,
,0.074774,-0.0345381944,
,0.074088,-0.0271541667,
